EPSG,ESRI
2000,"PROJCS[""Anguilla_1957_British_West_Indies_Grid"",GEOGCS[""GCS_Anguilla 1957"",DATUM[""D_Anguilla_1957"",SPHEROID[""Clarke_1880_RGS"",6378249.145,293.465]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-62],PARAMETER[""scale_factor"",0.9995],PARAMETER[""false_easting"",400000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2001,"PROJCS[""Antigua_1943_British_West_Indies_Grid"",GEOGCS[""GCS_Antigua 1943"",DATUM[""D_Antigua_1943"",SPHEROID[""Clarke_1880_RGS"",6378249.145,293.465]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-62],PARAMETER[""scale_factor"",0.9995],PARAMETER[""false_easting"",400000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2002,"PROJCS[""Dominica_1945_British_West_Indies_Grid"",GEOGCS[""GCS_Dominica 1945"",DATUM[""D_Dominica_1945"",SPHEROID[""Clarke_1880_RGS"",6378249.145,293.465]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-62],PARAMETER[""scale_factor"",0.9995],PARAMETER[""false_easting"",400000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2003,"PROJCS[""Grenada_1953_British_West_Indies_Grid"",GEOGCS[""GCS_Grenada 1953"",DATUM[""D_Grenada_1953"",SPHEROID[""Clarke_1880_RGS"",6378249.145,293.465]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-62],PARAMETER[""scale_factor"",0.9995],PARAMETER[""false_easting"",400000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2004,"PROJCS[""Montserrat_1958_British_West_Indies_Grid"",GEOGCS[""GCS_Montserrat 1958"",DATUM[""D_Montserrat_1958"",SPHEROID[""Clarke_1880_RGS"",6378249.145,293.465]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-62],PARAMETER[""scale_factor"",0.9995],PARAMETER[""false_easting"",400000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2005,"PROJCS[""St_Kitts_1955_British_West_Indies_Grid"",GEOGCS[""GCS_St. Kitts 1955"",DATUM[""D_St_Kitts_1955"",SPHEROID[""Clarke_1880_RGS"",6378249.145,293.465]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-62],PARAMETER[""scale_factor"",0.9995],PARAMETER[""false_easting"",400000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2006,"PROJCS[""St_Lucia_1955_British_West_Indies_Grid"",GEOGCS[""GCS_St. Lucia 1955"",DATUM[""D_St_Lucia_1955"",SPHEROID[""Clarke_1880_RGS"",6378249.145,293.465]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-62],PARAMETER[""scale_factor"",0.9995],PARAMETER[""false_easting"",400000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2007,"PROJCS[""St_Vincent_45_British_West_Indies_Grid"",GEOGCS[""GCS_St. Vincent 1945"",DATUM[""D_St_Vincent_1945"",SPHEROID[""Clarke_1880_RGS"",6378249.145,293.465]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-62],PARAMETER[""scale_factor"",0.9995],PARAMETER[""false_easting"",400000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2008,"PROJCS[""NAD27_CGQ77_SCoPQ_zone_2_deprecated"",GEOGCS[""GCS_NAD27(CGQ77)"",DATUM[""D_NAD_1927_CGQ77"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-55.5],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2009,"PROJCS[""NAD27_CGQ77_SCoPQ_zone_3"",GEOGCS[""GCS_NAD27(CGQ77)"",DATUM[""D_NAD_1927_CGQ77"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-58.5],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2010,"PROJCS[""NAD27_CGQ77_SCoPQ_zone_4"",GEOGCS[""GCS_NAD27(CGQ77)"",DATUM[""D_NAD_1927_CGQ77"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-61.5],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2011,"PROJCS[""NAD27_CGQ77_SCoPQ_zone_5"",GEOGCS[""GCS_NAD27(CGQ77)"",DATUM[""D_NAD_1927_CGQ77"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-64.5],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
