GEO,EPSG
TWD97,3822
IGRS,3887
MOLDREF99,4000
RGRDC 2005,4039
SREF98,4073
REGCAN95,4079
WGS 84 (geocentric),4328
ITRF88 (geocentric),4330
ITRF89 (geocentric),4331
ITRF90 (geocentric),4332
ITRF91 (geocentric),4333
ITRF92 (geocentric),4334
ITRF93 (geocentric),4335
ITRF94 (geocentric),4336
ITRF96 (geocentric),4337
ITRF97 (geocentric),4338
Australian Antarctic (geocentric),4340
EST97 (geocentric),4342
CHTRF95 (geocentric),4344
ETRS89 (geocentric),4346
GDA94 (geocentric),4348
Hartebeesthoek94 (geocentric),4350
IRENET95 (geocentric),4352
JGD2000 (geocentric),4354
LKS94 (ETRS89) (geocentric),4356
Moznet (geocentric),4358
NAD83(CSRS) (geocentric),4360
NAD83(HARN) (geocentric),4362
NZGD2000 (geocentric),4364
POSGAR 98 (geocentric),4366
REGVEN (geocentric),4368
RGF93 (geocentric),4370
RGFG95 (geocentric),4372
RGR92 (geocentric),4374
SIRGAS (geocentric),4376
SWEREF99 (geocentric),4378
Yemen NGN96 (geocentric),4380
RGNC 1991 (geocentric),4382
RRAF 1991 (geocentric),4384
ITRF2000 (geocentric),4385
ISN93 (geocentric),4387
LKS92 (geocentric),4389
RGSPM06,4465
RGM04,4468
Cadastre 1997,4473
China Geodetic Coordinate System 2000,4479
Mexican Datum of 1993,4481
RRAF 1991,4556
Slovenia 1996,4882
RSRGD2000,4884
BDA2000,4886
HTRS96,4888
WGS 66,4890
NAD83(NSRS2007),4892
JAD2001,4894
ITRF2005,4896
DGN95,4897
LGD2006,4899
RGNC91-93,4906
GR96,4908
ITRF88,4910
ITRF89,4911
ITRF90,4912
ITRF91,4913
ITRF92,4914
ITRF93,4915
ITRF94,4916
ITRF96,4917
ITRF97,4918
ITRF2000,4919
GDM2000,4920
PZ-90,4922
Mauritania 1999,4924
Korea 2000,4926
POSGAR 94,4928
Australian Antarctic,4930
CHTRF95,4932
EST97,4934
ETRS89,4936
GDA94,4938
Hartebeesthoek94,4940
IRENET95,4942
ISN93,4944
JGD2000,4946
LKS92,4948
LKS94,4950
Moznet,4952
NAD83(CSRS),4954
NAD83(HARN),4956
NZGD2000,4958
POSGAR 98,4960
REGVEN,4962
RGF93,4964
RGFG95,4966
RGNC 1991,4968
RGR92,4970
RRAF 1991,4972
SIRGAS 1995,4974
SWEREF99,4976
WGS 84,4978
Yemen NGN96,4980
IGM95,4982
WGS 72,4984
WGS 72BE,4986
SIRGAS 2000,4988
Lao 1993,4990
Lao 1997,4992
PRS92,4994
MAGNA-SIRGAS,4996
RGPF,4998
PTRA08,5011
GDBD2009,5244
TUREF,5250
DRUKREF 03,5262
ISN2004,5322
ITRF2008,5332
POSGAR 2007,5341
MARGEN,5352
SIRGAS-Chile,5358
CR05,5363
MACARIO SOLIS,5368
Peru96,5369
SIRGAS-ROU98,5379
SIRGAS_ES2007.8,5391
RGAF09,5487
PNG94,5544
Ukraine 2000,5558
FEH2010,5591
DB_REF,5828
HD1909,3819
TWD67,3821
TWD97,3824
IGRS,3889
MGI 1901,3906
Unknown datum based upon the Airy 1830 ellipsoid,4001
Unknown datum based upon the Airy Modified 1849 ellipsoid,4002
Unknown datum based upon the Australian National Spheroid,4003
Unknown datum based upon the Bessel 1841 ellipsoid,4004
Unknown datum based upon the Bessel Modified ellipsoid,4005
Unknown datum based upon the Bessel Namibia ellipsoid,4006
Unknown datum based upon the Clarke 1858 ellipsoid,4007
Unknown datum based upon the Clarke 1866 ellipsoid,4008
Unknown datum based upon the Clarke 1866 Michigan ellipsoid,4009
Unknown datum based upon the Clarke 1880 (Benoit) ellipsoid,4010
Unknown datum based upon the Clarke 1880 (IGN) ellipsoid,4011
Unknown datum based upon the Clarke 1880 (RGS) ellipsoid,4012
Unknown datum based upon the Clarke 1880 (Arc) ellipsoid,4013
Unknown datum based upon the Clarke 1880 (SGA 1922) ellipsoid,4014
Unknown datum based upon the Everest 1830 (1937 Adjustment) ellipsoid,4015
Unknown datum based upon the Everest 1830 (1967 Definition) ellipsoid,4016
Unknown datum based upon the Everest 1830 Modified ellipsoid,4018
Unknown datum based upon the GRS 1980 ellipsoid,4019
Unknown datum based upon the Helmert 1906 ellipsoid,4020
Unknown datum based upon the Indonesian National Spheroid,4021
Unknown datum based upon the International 1924 ellipsoid,4022
MOLDREF99,4023
Unknown datum based upon the Krassowsky 1940 ellipsoid,4024
Unknown datum based upon the NWL 9D ellipsoid,4025
Unknown datum based upon the Plessis 1817 ellipsoid,4027
