PROJCS,EPSG
Anguilla_1957_British_West_Indies_Grid,2000
Antigua_1943_British_West_Indies_Grid,2001
Dominica_1945_British_West_Indies_Grid,2002
Grenada_1953_British_West_Indies_Grid,2003
Montserrat_1958_British_West_Indies_Grid,2004
St_Kitts_1955_British_West_Indies_Grid,2005
St_Lucia_1955_British_West_Indies_Grid,2006
St_Vincent_45_British_West_Indies_Grid,2007
NAD27_CGQ77_SCoPQ_zone_2_deprecated,2008
NAD27_CGQ77_SCoPQ_zone_3,2009
NAD27_CGQ77_SCoPQ_zone_4,2010
NAD27_CGQ77_SCoPQ_zone_5,2011
NAD27_CGQ77_SCoPQ_zone_6,2012
NAD27_CGQ77_SCoPQ_zone_7,2013
NAD27_CGQ77_SCoPQ_zone_8,2014
NAD27_CGQ77_SCoPQ_zone_9,2015
NAD27_CGQ77_SCoPQ_zone_10,2016
NAD27_76_MTM_zone_8,2017
NAD27_76_MTM_zone_9,2018
NAD27_76_MTM_zone_10,2019
NAD27_76_MTM_zone_11,2020
NAD27_76_MTM_zone_12,2021
NAD27_76_MTM_zone_13,2022
NAD27_76_MTM_zone_14,2023
NAD27_76_MTM_zone_15,2024
NAD27_76_MTM_zone_16,2025
NAD27_76_MTM_zone_17,2026
NAD27_76_UTM_zone_15N,2027
NAD27_76_UTM_zone_16N,2028
NAD27_76_UTM_zone_17N,2029
NAD27_76_UTM_zone_18N,2030
NAD27_CGQ77_UTM_zone_17N,2031
NAD27_CGQ77_UTM_zone_18N,2032
NAD27_CGQ77_UTM_zone_19N,2033
NAD27_CGQ77_UTM_zone_20N,2034
NAD27_CGQ77_UTM_zone_21N,2035
NAD83_CSRS98_New_Brunswick_Stereo_deprecated,2036
NAD83_CSRS98_UTM_zone_19N_deprecated,2037
NAD83_CSRS98_UTM_zone_20N_deprecated,2038
Israel_Israeli_TM_Grid,2039
Locodjo_1965_UTM_zone_30N,2040
Abidjan_1987_UTM_zone_30N,2041
Locodjo_1965_UTM_zone_29N,2042
Abidjan_1987_UTM_zone_29N,2043
Hanoi_1972_Gauss_Kruger_zone_18,2044
Hanoi_1972_Gauss_Kruger_zone_19,2045
Hartebeesthoek94_Lo15,2046
Hartebeesthoek94_Lo17,2047
Hartebeesthoek94_Lo19,2048
Hartebeesthoek94_Lo21,2049
Hartebeesthoek94_Lo23,2050
Hartebeesthoek94_Lo25,2051
Hartebeesthoek94_Lo27,2052
Hartebeesthoek94_Lo29,2053
Hartebeesthoek94_Lo31,2054
Hartebeesthoek94_Lo33,2055
CH1903+_LV95,2056
Rassadiran_Nakhl_e_Taqi,2057
ED50_ED77_UTM_zone_38N,2058
ED50_ED77_UTM_zone_39N,2059
ED50_ED77_UTM_zone_40N,2060
ED50_ED77_UTM_zone_41N,2061
Madrid_1870_Madrid_Spain,2062
Dabola_1981_UTM_zone_28N_deprecated,2063
Dabola_1981_UTM_zone_29N_deprecated,2064
S_JTSK_Ferro_Krovak,2065
Mount_Dillon_Tobago_Grid,2066
Naparima_1955_UTM_zone_20N,2067
ELD79_Libya_zone_5,2068
ELD79_Libya_zone_6,2069
ELD79_Libya_zone_7,2070
ELD79_Libya_zone_8,2071
ELD79_Libya_zone_9,2072
ELD79_Libya_zone_10,2073
ELD79_Libya_zone_11,2074
ELD79_Libya_zone_12,2075
ELD79_Libya_zone_13,2076
ELD79_UTM_zone_32N,2077
ELD79_UTM_zone_33N,2078
ELD79_UTM_zone_34N,2079
ELD79_UTM_zone_35N,2080
Chos_Malal_1914_Argentina_2,2081
Pampa_del_Castillo_Argentina_2,2082
Hito_XVIII_1963_Argentina_2,2083
Hito_XVIII_1963_UTM_zone_19S,2084
NAD27_Cuba_Norte_deprecated,2085
NAD27_Cuba_Sur_deprecated,2086
ELD79_TM_12_NE,2087
Carthage_TM_11_NE,2088
Yemen_NGN96_UTM_zone_38N,2089
Yemen_NGN96_UTM_zone_39N,2090
South_Yemen_Gauss_Kruger_zone_8_deprecated,2091
South_Yemen_Gauss_Kruger_zone_9_deprecated,2092
Hanoi_1972_GK_106_NE,2093
WGS_72BE_TM_106_NE,2094
Bissau_UTM_zone_28N,2095
Korean_1985_East_Belt,2096
Korean_1985_Central_Belt,2097
Korean_1985_West_Belt,2098
Qatar_1948_Qatar_Grid,2099
GGRS87_Greek_Grid,2100
Lake_Maracaibo_Grid_M1,2101
Lake_Maracaibo_Grid,2102
Lake_Maracaibo_Grid_M3,2103
Lake_Maracaibo_La_Rosa_Grid,2104
NZGD2000_Mount_Eden_2000,2105
NZGD2000_Bay_of_Plenty_2000,2106
NZGD2000_Poverty_Bay_2000,2107
NZGD2000_Hawkes_Bay_2000,2108
NZGD2000_Taranaki_2000,2109
NZGD2000_Tuhirangi_2000,2110
NZGD2000_Wanganui_2000,2111
NZGD2000_Wairarapa_2000,2112
NZGD2000_Wellington_2000,2113
NZGD2000_Collingwood_2000,2114
NZGD2000_Nelson_2000,2115
NZGD2000_Karamea_2000,2116
NZGD2000_Buller_2000,2117
NZGD2000_Grey_2000,2118
NZGD2000_Amuri_2000,2119
NZGD2000_Marlborough_2000,2120
NZGD2000_Hokitika_2000,2121
NZGD2000_Okarito_2000,2122
NZGD2000_Jacksons_Bay_2000,2123
NZGD2000_Mount_Pleasant_2000,2124
NZGD2000_Gawler_2000,2125
NZGD2000_Timaru_2000,2126
NZGD2000_Lindis_Peak_2000,2127
NZGD2000_Mount_Nicholas_2000,2128
NZGD2000_Mount_York_2000,2129
NZGD2000_Observation_Point_2000,2130
NZGD2000_North_Taieri_2000,2131
NZGD2000_Bluff_2000,2132
NZGD_2000_UTM_Zone_58S,2133
NZGD_2000_UTM_Zone_59S,2134
NZGD_2000_UTM_Zone_60S,2135
Accra_Ghana_National_Grid,2136
Accra_TM_1_NW,2137
NAD27_CGQ77_Quebec_Lambert,2138
NAD83_CSRS98_SCoPQ_zone_2_deprecated,2139
NAD83_CSRS98_MTM_zone_3_deprecated,2140
